location_id,postal_code,city,state,country
354,814133,Godda,Jharkhand,In
355,636704,Dharmapuri,Tamil Nadu,In
356,601201,Gummidipoondi,Tamil Nadu,In
357,841403,Chapra,Bihar,In
358,700120,Barrackpore,West Bengal,In
359,303313,Bandikui,Rajasthan,In
360,742103,Berhampore,West Bengal,In
361,364006,Bhavnagar,Gujarat,In
362,562110,Bangalore Rural,Karnataka,In
363,273001,Gorakhpur,Uttar Pradesh,In
364,638453,Moolavaikkal,Tamil Nadu,In
365,824303,Aurangabad,Bihar,In
366,570020,Mysuru,Karnataka,In
367,768038,Khaliapali,Odisha,In
368,742201,Aurangabad,West Bengal,In
369,600119,Chennai,Tamil Nadu,In
370,400013,Mumbai -13,Maharashtra,In
371,679329,Nilambur,Kerala,In
372,500038,",Hyderabad",Telangana,In
373,507165,Khammam,Telangana,In
374,700129,Barasat,West Bengal,In
375,403513,Pernem,Goa,In
376,401209,Nallasopara East,Maharashtra,In
377,415409,Uran Islampur,Maharashtra,In
378,680681,Thrissur,Kerala,In
379,122413,Gurgaon,Haryana,In
380,533251,Sakhinetipalli,Andhra Pradesh,In
381,110077,New Delhi,Delhi,In
382,843119,Muzaffarpur,Bihar,In
383,682037,Kakkanad,Kerala,In
384,683104,Ernakulam,Kerala,In
385,829134,Ara,Jharkhand,In
386,682019,Ernakulam,Kerala,In
387,415003,Satara,Maharashtra,In
388,505524,Boinpalle,Telangana,In
389,403712,Velsao Falvaddo,Goa,In
390,625601,Periyakulam,Tamil Nadu,In
391,401106,"Uttan, Thane",Maharashtra,In
392,533005,Kakinada,Andhra Pradesh,In
393,461775,Pipariya,Madhya Pradesh,In
394,781012,"Guwahati, Maligaon",Assam,In
395,682027,South Chittor Eranakulam.,Kerala,In
396,410218,Navi Mumbai,Maharashtra,In
397,600017,Chennai,Tamil Nadu,In
398,495691,Malkharoda,Chhattisgarh,In
399,500087,Secunderabad,Telangana,In
400,625201,Madurai,Tamil Nadu,In
401,625518,Gudalur,Tamil Nadu,In
402,712248,Rishra,West Bengal,In
403,509209,Nagarkurnool,Telangana,In
404,490006,Bhilai Durg,Chhattisgarh,In
405,629101,Edaikodu,Tamil Nadu,In
406,509339,Kosigi,Telangana,In
407,534134,Attilli,Andhra Pradesh,In
408,243639,Ujhani,Uttar Pradesh,In
409,734101,Darjeelingd,West Bengal,In
410,671123,Kasaragod,Kerala,In
411,122001,Gurgaun,Haryana,In
